,Province/State,Country/Region,8/2/20,8/3/20
0,,Dominican Republic,72243,73117
1,,Panama,67453,68456
2,,Guatemala,51306,51542
3,,Honduras,43197,43794
4,,Costa Rica,18975,19402
5,,El Salvador,17448,17843
6,French Guiana,France,7857,7948
7,,Haiti,7468,7511
8,,Nicaragua,3672,3672
9,,Cuba,2646,2670
10,,Jamaica,894,905
11,,Bahamas,648,679
12,,Guyana,474,474
13,Cayman Islands,United Kingdom,203,203
14,,Trinidad and Tobago,182,182
15,Sint Maarten,Netherlands,146,150
16,,Barbados,132,132
17,Aruba,Netherlands,122,124
18,,Antigua and Barbuda,91,92
19,St Martin,France,53,53
20,Curacao,Netherlands,29,29
21,,Saint Lucia,25,25
